FECHA_CORTE;ITEM;ANIO;MES;FEDERACION;PATERNO;MATERNO;NOMBRES;PAD;NIVEL;MONTO;PAIS;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;FECHA_PUBLICACION
20241130;1;2013;201301;AJEDREZ;ALIAGA;FERNANDEZ;INGRID YADYRA;I;III;1000;PERU;LIMA;LIMA;JESUS MARIA;150113;20241213
20241130;2;2013;201301;AJEDREZ;CABALLERO;QUIJANO;MITZY MISHEL;I;V;600;PERU;LIMA;LIMA;LIMA;150101;20241213
20241130;3;2013;201301;AJEDREZ;CHUMPITAZ;CARBAJAL;ANN LINDSAY;I;III;1000;PERU;LIMA;LIMA;LA VICTORIA;150115;20241213
20241130;4;2013;201301;AJEDREZ;CORI;QUISPE;KEVIN JOEL;I;V;600;PERU;LIMA;LIMA;VILLA EL SALVADOR;150142;20241213
20241130;5;2013;201301;AJEDREZ;CRUZ;SANCHEZ;CRISTHIAN ARNALDO;I;IV;800;PERU;LIMA;LIMA;LIMA;150101;20241213
20241130;6;2013;201301;AJEDREZ;CUELLAR;OSHIRO;DIEGO ELISVAN;I;II;1200;PERU;CALLAO;CALLAO;CALLAO;70101;20241213
20241130;7;2013;201301;AJEDREZ;ESPINOZA;PALOMINO;WILLYAM JAVIER;I;IV;800;PERU;LIMA;LIMA;SAN MIGUEL;150136;20241213
20241130;8;2013;201301;AJEDREZ;FELIX;VEGA;AURORA EDITH;I;II;1200;PERU;LIMA;LIMA;JESUS MARIA;150113;20241213
20241130;9;2013;201301;AJEDREZ;FERNANDEZ;PEREZ;JORGE ANDRE;I;IV;800;PERU;LIMA;LIMA;JESUS MARIA;150113;20241213
20241130;10;2013;201301;AJEDREZ;GARCIA;CONTRERAS;CRHISTY ANA;I;V;600;PERU;LIMA;LIMA;LIMA;150101;20241213
20241130;11;2013;201301;AJEDREZ;GRANDA;ZUÑIGA;JULIO ERNESTO;I;I;1500;PERU;AREQUIPA;CAMANA;CAMANA;40201;20241213
20241130;12;2013;201301;AJEDREZ;LEIVA;RODRIGUEZ;GIANMARCO GIUSEPPE;I;IV;800;PERU;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;20241213
20241130;13;2013;201301;AJEDREZ;MARTINEZ;ALCANTARA;JOSE EDUARDO;I;II;1200;PERU;LIMA;LIMA;LIMA;150101;20241213
20241130;14;2013;201301;AJEDREZ;PAREDES;BUSTAMANTE;PAULA ELIZABETH;I;IV;800;PERU;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;20241213
20241130;15;2013;201301;AJEDREZ;QUIRHUAYO;CHUMBE;GERMAN GONZALO;I;V;600;PERU;LIMA;LIMA;LIMA;150101;20241213
20241130;16;2013;201301;AJEDREZ;ROSALES;RODRIGUEZ;PIERINA YSABEL;I;IV;800;PERU;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;20241213
20241130;17;2013;201301;AJEDREZ;SANCHEZ;ZAMBRANO;VANESSA;I;V;600;PERU;CALLAO;CALLAO;CALLAO;70101;20241213
20241130;18;2013;201301;AJEDREZ;VERA;SIGUEÑAS;DEIVY ANTHONY;I;V;600;PERU;LA LIBERTAD;ASCOPE;ASCOPE;130201;20241213
20241130;19;2013;201301;ATLETISMO;APARICIO;ARMAS;ALELI;I;IV;800;PERU;CUSCO;CUSCO;CUSCO;80101;20241213
20241130;20;2013;201301;ATLETISMO;BASILIO;PEREZ;LUCY;I;IV;800;PERU;CUSCO;CUSCO;CUSCO;80101;20241213
20241130;21;2013;201301;ATLETISMO;CALDERON;FLORES;MIJAEL VICENTE;I;V;600;PERU;MOQUEGUA;ILO;ILO;180301;20241213
20241130;22;2013;201301;ATLETISMO;CARRILLO;ZEGARRA;SERGIO ALEXANDER;I;V;600;PERU;TACNA;TACNA;TACNA;230101;20241213
20241130;23;2013;201301;ATLETISMO;CHAVEZ;KORFIATIS;ARTURO;I;IV;800;CHILE;;;;0;20241213
20241130;24;2013;201301;ATLETISMO;DELGADO;CASTRO;ELIONA;I;V;600;PERU;CUSCO;CHUMBIVILCAS;COLQUEMARCA;80704;20241213
20241130;25;2013;201301;ATLETISMO;DIAZ;DIAZ;EDMUNDO WALTER;I;IV;800;PERU;LIMA;LIMA;LIMA;150101;20241213
